;KR;FR;BB;DB;HP;CR;SB;VN;GP;CA;WA;IP;SH;SC;CB;PB;SR;BT;BA
KR;0;0.007271572;0.007489438;0.007510005;0.007775157;0.007611195;0.00765512;0.007743815;0.007867494;0.007964068;0.007866226;0.009169276;0.007663046;0.01072645;0.01160461;0.01606376;0.01603133;0.022288;0.02271819
FR;0.007271572;0;0.007377755;0.007186342;0.00793643;0.007629066;0.007663897;0.008010283;0.008166776;0.008220562;0.007838796;0.009772143;0.007752963;0.01091515;0.01198811;0.01673268;0.01637936;0.0229975;0.02351035
BB;0.007489438;0.007377755;0;0.007296342;0.008140629;0.007655151;0.007692692;0.007989608;0.008240498;0.008345458;0.007796822;0.01003623;0.007792116;0.01099763;0.0121355;0.01713483;0.016715;0.02343336;0.02406572
DB;0.007510005;0.007186342;0.007296342;0;0.007924297;0.00762289;0.007789585;0.007893176;0.008072987;0.008167019;0.007871973;0.009669209;0.007837452;0.01085415;0.01196764;0.01649673;0.01617808;0.02262124;0.02313097
HP;0.007775157;0.00793643;0.008140629;0.007924297;0;0.007944643;0.008290252;0.007954965;0.0078745;0.00775043;0.008018557;0.008437687;0.00788876;0.01038248;0.01119199;0.01481143;0.01568218;0.02120397;0.02149774
CR;0.007611195;0.007629066;0.007655151;0.00762289;0.007944643;0;0.007887731;0.008236041;0.008089847;0.008186316;0.00769855;0.009716078;0.007811728;0.01096506;0.01191599;0.0164165;0.01664273;0.02305095;0.0235932
SB;0.00765512;0.007663897;0.007692692;0.007789585;0.008290252;0.007887731;0;0.008134867;0.008442846;0.008503385;0.007911303;0.01008984;0.007929882;0.01139697;0.01237783;0.01760034;0.01685784;0.02381028;0.02426373
VN;0.007743815;0.008010283;0.007989608;0.007893176;0.007954965;0.008236041;0.008134867;0;0.00788203;0.008028421;0.008135922;0.008756625;0.007929262;0.01076145;0.01137789;0.01598671;0.01596647;0.0222379;0.0225699
GP;0.007867494;0.008166776;0.008240498;0.008072987;0.0078745;0.008089847;0.008442846;0.00788203;0;0.00783662;0.008123807;0.008500647;0.007830706;0.01011018;0.01068205;0.01436057;0.01500647;0.02076496;0.02108005
CA;0.007964068;0.008220562;0.008345458;0.008167019;0.00775043;0.008186316;0.008503385;0.008028421;0.00783662;0;0.008262503;0.008015465;0.007944072;0.009152973;0.009789008;0.01273551;0.01389244;0.01952447;0.01966724
WA;0.007866226;0.007838796;0.007796822;0.007871973;0.008018557;0.00769855;0.007911303;0.008135922;0.008123807;0.008262503;0;0.009953602;0.007702677;0.01077277;0.01184907;0.01651907;0.01634985;0.02331693;0.02393894
IP;0.009169276;0.009772143;0.01003623;0.009669209;0.008437687;0.009716078;0.01008984;0.008756625;0.008500647;0.008015465;0.009953602;0;0.009057641;0.01025384;0.01044375;0.01296252;0.01487232;0.0189452;0.01894709
SH;0.007663046;0.007752963;0.007792116;0.007837452;0.00788876;0.007811728;0.007929882;0.007929262;0.007830706;0.007944072;0.007702677;0.009057641;0;0.01033525;0.01119762;0.01545576;0.01560591;0.02184954;0.02234576
SC;0.01072645;0.01091515;0.01099763;0.01085415;0.01038248;0.01096506;0.01139697;0.01076145;0.01011018;0.009152973;0.01077277;0.01025384;0.01033525;0;0.007694882;0.009387566;0.01094184;0.01844197;0.0185788
CB;0.01160461;0.01198811;0.0121355;0.01196764;0.01119199;0.01191599;0.01237783;0.01137789;0.01068205;0.009789008;0.01184907;0.01044375;0.01119762;0.007694882;0;0.009068898;0.01075861;0.0180463;0.01816608
PB;0.01606376;0.01673268;0.01713483;0.01649673;0.01481143;0.0164165;0.01760034;0.01598671;0.01436057;0.01273551;0.01651907;0.01296252;0.01545576;0.009387566;0.009068898;0;0.01107601;0.02023254;0.02096561
SR;0.01603133;0.01637936;0.016715;0.01617808;0.01568218;0.01664273;0.01685784;0.01596647;0.01500647;0.01389244;0.01634985;0.01487232;0.01560591;0.01094184;0.01075861;0.01107601;0;0.01491101;0.01492862
BT;0.022288;0.0229975;0.02343336;0.02262124;0.02120397;0.02305095;0.02381028;0.0222379;0.02076496;0.01952447;0.02331693;0.0189452;0.02184954;0.01844197;0.0180463;0.02023254;0.01491101;0;0.007637891
BA;0.02271819;0.02351035;0.02406572;0.02313097;0.02149774;0.0235932;0.02426373;0.0225699;0.02108005;0.01966724;0.02393894;0.01894709;0.02234576;0.0185788;0.01816608;0.02096561;0.01492862;0.007637891;0